Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2005","2005","t","62375","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2006","2006","t","79720","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2007","2007","t","77625","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2008","2008","t","95612","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2009","2009","t","75263","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2010","2010","t","58082","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2011","2011","t","62706","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2012","2012","t","40711","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2013","2013","t","54552","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2014","2014","t","49292","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2015","2015","t","57682","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2016","2016","t","18830","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","t","25793","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","t","79885","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","t","77171","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","t","119722","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2021","2021","t","78200","E","Estimated value",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2022","2022","t","78200","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","144","Sri Lanka","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2023","2023","t","78200","I","Value imputed by a receiving agency",""
